run_id,seed,learning_rate,input_scale,base_total_steps,extended_total_steps,base_drift_onset_step,base_symmetry_onset_step,base_verdict_label,drift_onset_step,symmetry_onset_step,lead_steps,verdict_label,consensus_verdict,covariance_onset,mean_gradient_onset,activation_onset,covariance_max_score
seed0_lr0.0200_scale0.75,0,0.02,0.75,300,1200,54,,censored,54,,,censored,censored,,,,0.009268607153407216
seed0_lr0.0400_scale0.75,0,0.04,0.75,300,1200,55,,censored,55,,,censored,censored,,,,0.017254002279118906
seed0_lr0.0800_scale0.75,0,0.08,0.75,300,1200,52,,censored,52,300,248,supportive,supportive,300,435,,0.2762621417476535
seed1_lr0.0200_scale0.75,1,0.02,0.75,300,1200,53,,censored,53,,,censored,censored,,255,,0.02616817242051364
seed1_lr0.0200_scale1.25,1,0.02,1.25,300,1200,52,,censored,52,510,458,supportive,supportive,510,195,1185,0.27791781371462887
seed1_lr0.0200_scale1.75,1,0.02,1.75,300,1200,52,,censored,52,300,248,supportive,supportive,300,135,,0.6035446354853766
seed2_lr0.0200_scale1.25,2,0.02,1.25,300,1200,52,,censored,52,465,413,supportive,supportive,465,285,,0.060801294036161864
seed2_lr0.0400_scale0.75,2,0.04,0.75,300,1200,51,,censored,51,,,censored,censored,,,,0.0050341581779159966
seed2_lr0.0800_scale0.75,2,0.08,0.75,300,1200,51,,censored,51,,,censored,censored,,120,,0.010662822425927945
seed0_lr0.0200_scale0.75,0,0.02,0.75,300,2400,54,,censored,54,,,censored,censored,,,,0.01661977719074928
seed0_lr0.0400_scale0.75,0,0.04,0.75,300,2400,55,,censored,55,1965,1910,supportive,supportive,1965,1860,,0.04620244780774361
seed0_lr0.0800_scale0.75,0,0.08,0.75,300,2400,52,,censored,52,300,248,supportive,supportive,300,435,1275,0.49448374271485795
seed1_lr0.0200_scale0.75,1,0.02,0.75,300,2400,53,,censored,53,1470,1417,supportive,supportive,1470,255,,0.04180630354752107
seed1_lr0.0200_scale1.25,1,0.02,1.25,300,2400,52,,censored,52,510,458,supportive,supportive,510,195,1185,0.3329643412258333
seed1_lr0.0200_scale1.75,1,0.02,1.75,300,2400,52,,censored,52,300,248,supportive,supportive,300,135,2175,0.7614019295695955
seed2_lr0.0200_scale1.25,2,0.02,1.25,300,2400,52,,censored,52,465,413,supportive,supportive,465,285,2190,0.16996302746775127
seed2_lr0.0400_scale0.75,2,0.04,0.75,300,2400,51,,censored,51,,,censored,censored,,,,0.0051534039858029575
seed2_lr0.0800_scale0.75,2,0.08,0.75,300,2400,51,,censored,51,,,censored,censored,,120,,0.020937366927269
seed0_lr0.0200_scale0.75,0,0.02,0.75,300,4800,54,,censored,54,2685,2631,supportive,supportive,2685,3960,4185,0.239437271811548
seed0_lr0.0400_scale0.75,0,0.04,0.75,300,4800,55,,censored,55,1965,1910,supportive,supportive,1965,1860,3045,0.37528118384586195
seed0_lr0.0800_scale0.75,0,0.08,0.75,300,4800,52,,censored,52,300,248,supportive,supportive,300,435,1275,0.549773514579585
seed1_lr0.0200_scale0.75,1,0.02,0.75,300,4800,53,,censored,53,1470,1417,supportive,supportive,1470,255,,0.10474359279585145
seed1_lr0.0200_scale1.25,1,0.02,1.25,300,4800,52,,censored,52,510,458,supportive,supportive,510,195,1185,0.3329643412258333
seed1_lr0.0200_scale1.75,1,0.02,1.75,300,4800,52,,censored,52,300,248,supportive,supportive,300,135,2175,0.7614019295695955
seed2_lr0.0200_scale1.25,2,0.02,1.25,300,4800,52,,censored,52,465,413,supportive,supportive,465,285,2190,0.36108470934921283
seed2_lr0.0400_scale0.75,2,0.04,0.75,300,4800,51,,censored,51,,,censored,censored,,,4365,0.023033738347162783
seed2_lr0.0800_scale0.75,2,0.08,0.75,300,4800,51,,censored,51,2775,2724,supportive,supportive,2775,120,,0.10694748754421803
seed0_lr0.0200_scale0.75,0,0.02,0.75,300,9600,54,,censored,54,2685,2631,supportive,supportive,2685,3960,4185,0.328339536513256
seed0_lr0.0400_scale0.75,0,0.04,0.75,300,9600,55,,censored,55,1965,1910,supportive,supportive,1965,1860,3045,0.43507270355323724
seed0_lr0.0800_scale0.75,0,0.08,0.75,300,9600,52,,censored,52,300,248,supportive,supportive,300,435,1275,0.549773514579585
seed1_lr0.0200_scale0.75,1,0.02,0.75,300,9600,53,,censored,53,1470,1417,supportive,supportive,1470,255,,0.27676172215126416
seed1_lr0.0200_scale1.25,1,0.02,1.25,300,9600,52,,censored,52,510,458,supportive,supportive,510,195,1185,0.4148019083117338
seed1_lr0.0200_scale1.75,1,0.02,1.75,300,9600,52,,censored,52,300,248,supportive,supportive,300,135,2175,0.7614019295695955
seed2_lr0.0200_scale1.25,2,0.02,1.25,300,9600,52,,censored,52,465,413,supportive,supportive,465,285,2190,0.36108470934921283
seed2_lr0.0400_scale0.75,2,0.04,0.75,300,9600,51,,censored,51,5580,5529,supportive,supportive,5580,5805,4365,0.21904138729400943
seed2_lr0.0800_scale0.75,2,0.08,0.75,300,9600,51,,censored,51,2775,2724,supportive,supportive,2775,120,6180,0.36826797806141676
