suite_name,preset_name,detector_name,verdict,total_runs,comparable_runs,supportive_runs,falsifying_runs,censored_runs,positive_fraction,nonpositive_fraction,median_lead_steps
main_paired_mlp_stochastic,baseline,covariance_mismatch,INCONCLUSIVE,27,0,0,0,27,0.0,0.0,
main_paired_mlp_stochastic,baseline,mean_gradient_mismatch,SUPPORTED,27,2,2,0,25,1.0,0.0,218.0
main_paired_mlp_stochastic,baseline,activation_stat_mismatch,INCONCLUSIVE,27,0,0,0,27,0.0,0.0,
main_paired_mlp_stochastic,local_low,covariance_mismatch,INCONCLUSIVE,27,0,0,0,27,0.0,0.0,
main_paired_mlp_stochastic,local_low,mean_gradient_mismatch,SUPPORTED,27,6,6,0,21,1.0,0.0,139.0
main_paired_mlp_stochastic,local_low,activation_stat_mismatch,SUPPORTED,27,2,2,0,25,1.0,0.0,148.0
main_paired_mlp_stochastic,local_high,covariance_mismatch,INCONCLUSIVE,27,0,0,0,27,0.0,0.0,
main_paired_mlp_stochastic,local_high,mean_gradient_mismatch,SUPPORTED,27,2,2,0,25,1.0,0.0,208.0
main_paired_mlp_stochastic,local_high,activation_stat_mismatch,INCONCLUSIVE,27,0,0,0,27,0.0,0.0,
main_paired_mlp_stochastic,looser,covariance_mismatch,INCONCLUSIVE,27,0,0,0,27,0.0,0.0,
main_paired_mlp_stochastic,looser,mean_gradient_mismatch,SUPPORTED,27,6,6,0,21,1.0,0.0,141.0
main_paired_mlp_stochastic,looser,activation_stat_mismatch,SUPPORTED,27,2,2,0,25,1.0,0.0,150.0
main_paired_mlp_stochastic,stricter,covariance_mismatch,INCONCLUSIVE,27,0,0,0,27,0.0,0.0,
main_paired_mlp_stochastic,stricter,mean_gradient_mismatch,SUPPORTED,27,2,2,0,25,1.0,0.0,206.0
main_paired_mlp_stochastic,stricter,activation_stat_mismatch,INCONCLUSIVE,27,0,0,0,27,0.0,0.0,
